Real-time data - subject to revision
Copyright Environment Canada(2024)

"Real-Time Hydrometric Data for SAN JUAN RIVER NEAR PORT RENFREW (08HA010) [BC]"

08HA010,"SAN JUAN RIVER NEAR PORT RENFREW"
Description of parameters:
46,"Water level (unit values)",m

Date (PST),Parameter ,Value (m),Approval,Qualifier
2024-10-28 00:00:00,46,4.071,Provisional,UNSPECIFIED
2024-10-28 00:05:00,46,4.078,Provisional,UNSPECIFIED
2024-10-28 00:10:00,46,4.080,Provisional,UNSPECIFIED
2024-10-28 00:15:00,46,4.080,Provisional,UNSPECIFIED
2024-10-28 00:20:00,46,4.075,Provisional,UNSPECIFIED
2024-10-28 00:25:00,46,4.086,Provisional,UNSPECIFIED
2024-10-28 00:30:00,46,4.083,Provisional,UNSPECIFIED
2024-10-28 00:35:00,46,4.087,Provisional,UNSPECIFIED
2024-10-28 00:40:00,46,4.091,Provisional,UNSPECIFIED
2024-10-28 00:45:00,46,4.066,Provisional,UNSPECIFIED
2024-10-28 00:50:00,46,4.096,Provisional,UNSPECIFIED
2024-10-28 00:55:00,46,4.089,Provisional,UNSPECIFIED
2024-10-28 01:00:00,46,4.088,Provisional,UNSPECIFIED
2024-10-28 01:05:00,46,4.090,Provisional,UNSPECIFIED
2024-10-28 01:10:00,46,4.104,Provisional,UNSPECIFIED
2024-10-28 01:15:00,46,4.098,Provisional,UNSPECIFIED
2024-10-28 01:20:00,46,4.097,Provisional,UNSPECIFIED
2024-10-28 01:25:00,46,4.091,Provisional,UNSPECIFIED
2024-10-28 01:30:00,46,4.081,Provisional,UNSPECIFIED
2024-10-28 01:35:00,46,4.107,Provisional,UNSPECIFIED
2024-10-28 01:40:00,46,4.108,Provisional,UNSPECIFIED
2024-10-28 01:45:00,46,4.113,Provisional,UNSPECIFIED
2024-10-28 01:50:00,46,4.084,Provisional,UNSPECIFIED
2024-10-28 01:55:00,46,4.112,Provisional,UNSPECIFIED
2024-10-28 02:00:00,46,4.107,Provisional,UNSPECIFIED
2024-10-28 02:05:00,46,4.118,Provisional,UNSPECIFIED
2024-10-28 02:10:00,46,4.116,Provisional,UNSPECIFIED
2024-10-28 02:15:00,46,4.105,Provisional,UNSPECIFIED
2024-10-28 02:20:00,46,4.121,Provisional,UNSPECIFIED
2024-10-28 02:25:00,46,4.090,Provisional,UNSPECIFIED
2024-10-28 02:30:00,46,4.125,Provisional,UNSPECIFIED
2024-10-28 02:35:00,46,4.109,Provisional,UNSPECIFIED
2024-10-28 02:40:00,46,4.116,Provisional,UNSPECIFIED
2024-10-28 02:45:00,46,4.100,Provisional,UNSPECIFIED
2024-10-28 02:50:00,46,4.121,Provisional,UNSPECIFIED
2024-10-28 02:55:00,46,4.123,Provisional,UNSPECIFIED
2024-10-28 03:00:00,46,4.106,Provisional,UNSPECIFIED
2024-10-28 03:05:00,46,4.117,Provisional,UNSPECIFIED
2024-10-28 03:10:00,46,4.129,Provisional,UNSPECIFIED
2024-10-28 03:15:00,46,4.129,Provisional,UNSPECIFIED
2024-10-28 03:20:00,46,4.121,Provisional,UNSPECIFIED
2024-10-28 03:25:00,46,4.131,Provisional,UNSPECIFIED
2024-10-28 03:30:00,46,4.138,Provisional,UNSPECIFIED
