Real-time data - subject to revision
Copyright Environment Canada(2025)

"Real-Time Hydrometric Data for SAN JUAN RIVER NEAR PORT RENFREW (08HA010) [BC]"

08HA010,"SAN JUAN RIVER NEAR PORT RENFREW"
Description of parameters:
6,"Discharge (daily mean values)",m³/s

Date (PST),Parameter ,Value (m³/s)
2025-01-01 00:00:00,6,55.9
2025-01-02 00:00:00,6,46.8
2025-01-03 00:00:00,6,44.3
2025-01-04 00:00:00,6,47.5
2025-01-05 00:00:00,6,58.0
2025-01-06 00:00:00,6,50.5
2025-01-07 00:00:00,6,42.0
2025-01-08 00:00:00,6,36.5
2025-01-09 00:00:00,6,32.2
2025-01-10 00:00:00,6,34.8
2025-01-11 00:00:00,6,32.3
2025-01-12 00:00:00,6,27.8
2025-01-13 00:00:00,6,24.7
2025-01-14 00:00:00,6,22.3
2025-01-15 00:00:00,6,20.4
2025-01-16 00:00:00,6,18.9
2025-01-17 00:00:00,6,17.3
2025-01-18 00:00:00,6,15.8
2025-01-19 00:00:00,6,14.5
2025-01-20 00:00:00,6,13.4
2025-01-21 00:00:00,6,12.5
2025-01-22 00:00:00,6,11.6
2025-01-23 00:00:00,6,10.9
2025-01-24 00:00:00,6,10.2
2025-01-25 00:00:00,6,9.53
2025-01-26 00:00:00,6,8.90
2025-01-27 00:00:00,6,8.34
2025-01-28 00:00:00,6,7.90
2025-01-29 00:00:00,6,7.72
2025-01-30 00:00:00,6,7.71
2025-01-31 00:00:00,6,19.5
2025-02-01 00:00:00,6,29.3
2025-02-02 00:00:00,6,21.1
2025-02-03 00:00:00,6,17.9
2025-02-04 00:00:00,6,16.0
2025-02-05 00:00:00,6,14.9
2025-02-06 00:00:00,6,14.1
2025-02-07 00:00:00,6,13.5
2025-02-08 00:00:00,6,13.2
2025-02-09 00:00:00,6,12.9
2025-02-10 00:00:00,6,12.5
2025-02-11 00:00:00,6,11.8
2025-02-12 00:00:00,6,11.6
2025-02-13 00:00:00,6,11.9
2025-02-14 00:00:00,6,11.8
2025-02-15 00:00:00,6,11.8
2025-02-16 00:00:00,6,15.7
2025-02-17 00:00:00,6,21.3
2025-02-18 00:00:00,6,24.0
2025-02-19 00:00:00,6,76.0
2025-02-20 00:00:00,6,112
2025-02-21 00:00:00,6,78.4
2025-02-22 00:00:00,6,217
2025-02-23 00:00:00,6,195
2025-02-24 00:00:00,6,161
2025-02-25 00:00:00,6,167
2025-02-26 00:00:00,6,107
2025-02-27 00:00:00,6,75.1
2025-02-28 00:00:00,6,62.9
2025-03-01 00:00:00,6,53.9
2025-03-02 00:00:00,6,47.3
2025-03-03 00:00:00,6,42.8
2025-03-04 00:00:00,6,41.1
2025-03-05 00:00:00,6,58.5
2025-03-06 00:00:00,6,53.4
2025-03-07 00:00:00,6,46.3
2025-03-08 00:00:00,6,168
2025-03-09 00:00:00,6,332
2025-03-10 00:00:00,6,141
2025-03-11 00:00:00,6,96.9
2025-03-12 00:00:00,6,99.1
2025-03-13 00:00:00,6,87.6
2025-03-14 00:00:00,6,72.6
2025-03-15 00:00:00,6,67.5
2025-03-16 00:00:00,6,74.4
2025-03-17 00:00:00,6,74.4
2025-03-18 00:00:00,6,66.0
