ec5_uuid,created_at,uploaded_at,created_by,title,2_Date,3_Time,4_SoundArea,5_Survey_Location_ri,6_Organization_eg_Fi,7_Other_Organization,8_Crew_Members_full_,13_Weather,14_Beaufort_Wind_Sca,15_Survey_Type,17_Are_you_starting_,18_Date,19_Time,20_Depth_at_RSTIPT_m,21_Debris_Load,22_Debris_Type,23_RST_RPMs,24_Tennis_Ball_Trave,25_Tennis_Ball_Trave,26_Collecting_Water_,lat_28_Coordinates,long_28_Coordinates,accuracy_28_Coordinates,UTM_Northing_28_Coordinates,UTM_Easting_28_Coordinates,UTM_Zone_28_Coordinates,29_Time,30_Bottom_Depth_ft,31_Water_Quality_Ins,33_Time,34_Temperature_C,35_DO__Saturation,36_DO_mgL,37_Salinity_PSU,38_Conductivity_scm,39_pH,40_Turbidity_index,96_Comments
a9140262-2778-4d00-84d8-84da03fa1c93,2024-03-12T22:26:41.000Z,2024-03-12T22:28:22.000Z,research@pacheedaht.ca,12/03/2024 Port San Juan (PFMA #20) San Juan river,12/3/2024,,Port San Juan (PFMA #20),San Juan river,Pacheedaht First Nation,,"Richard, Jacob, Jonathan Archambault, Katie Davidson",Light rain,3 - gentle breeze (7-10kn),Freshwater RST/IPT,Starting Fishing,12/3/2024,12:30,,Low,,,,,No,,,,,,,,,,,,,,,,,,Install day
0d8acc84-94c5-4b53-9fe8-a0e6eb0a3388,2024-03-14T01:40:14.000Z,2024-03-14T02:41:08.000Z,research@pacheedaht.ca,13/03/2024 Port San Juan (PFMA #20) San Juan,13/03/2024,,Port San Juan (PFMA #20),San Juan,Pacheedaht First Nation,,"Jacob J, Anthony J, Mariyah D-J, Richard J,",Sunny,0 - calm,Freshwater RST/IPT,Starting Fishing,13/03/2024,18:35,,Low,"Leaves ,sticks",,,,No,,,,,,,,,,,,,,,,,,No tennis ball for recording will do in morning
1f8371b0-e60f-11ee-a5d1-a95381e88dd9,2024-03-19T16:38:32.267Z,2024-03-19T17:00:21.000Z,jonat192@gmail.com,13/03/2024 18:35 San Juan River,13/03/2024,18:35,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,,"Jeff Jones, Mariyah Jones, Richard Jones, Anthony Jones",Sunny,0 - calm,Freshwater RST/IPT,Stopping Fishing,13/03/2024,18:35,,Low,Leaves and sticks,,,,No,,,,,,,,,,,,,,,,,,This entry was added by Jonathan after initial field work. This represents the fish that were caught during the day before the first batch of marked fish were released.
8faf0ffd-cbb0-4eff-a156-6df148529bfd,2024-03-13T16:15:17.000Z,2024-03-14T02:40:54.000Z,research@pacheedaht.ca,13/03/2024 Port San Juan (PFMA #20) San Juan River,13/03/2024,,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,,Jacob Mariyah Katie jeff,Overcast,2 - light breeze (4-6kn),Freshwater RST/IPT,Stopping Fishing,13/03/2024,6:23,1,Low,Leaves,,17,,Yes,48.57812,-124.304278,5,5381380,403799,10U,9:14,,YSI,9:23,4.7,,13.09,0.02,26.1,,,
f7753aaa-e151-43da-b2cd-f1b4a38f1f6e,2024-03-15T01:53:39.555Z,2024-03-18T23:23:32.000Z,research@pacheedaht.ca,14/03/2024 09:21 San Juan river,14/03/2024,9:21,Port San Juan (PFMA #20),San Juan river,Pacheedaht First Nation,,Anthony jones/Jacob jones/Rich jones/maryiah jones,Partly cloudy,2 - light breeze (4-6kn),Freshwater RST/IPT,Starting Fishing,14/03/2024,18:28,,Low,Pine needles small sticks/leafs,,14.21,,Yes,48.580608,-124.402905,35,5381785,396530,10U,18:38,,YSI,18:52,,,,,,,,One seal
aac66d77-4bb5-4808-9307-c18023ff3377,2024-03-14T16:01:15.433Z,2024-03-18T23:23:43.000Z,research@pacheedaht.ca,14/03/2024 09:00 San Juan River,14/03/2024,9:00,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,,RJ JJ JJ AJ MDJ,Sunny,1 - light air (1-3kn),Freshwater RST/IPT,Stopping Fishing,14/03/2024,8:52,,Low,,,15,,Yes,48.578054,-124.304392,5,5381373,403791,10U,8:57,,YSI,8:58,4.7,98,,,46.5,,,1.85m
2594ea52-9121-495c-8a5c-448d9376b8c0,2024-03-15T15:54:41.233Z,2024-03-18T23:23:36.000Z,research@pacheedaht.ca,15/03/2024 09:00 San Juan,15/03/2024,9:00,Port San Juan (PFMA #20),San Juan,Pacheedaht First Nation,,"Jacob J, Richard J, Maryiah D-J, Jeff J",Sunny,0 - calm,Freshwater RST/IPT,Stopping Fishing,15/03/2024,8:48,2.8,Low,"Pine needles, Sticks, Leaves",0,14,,Yes,48.577982,-124.304352,6,5381364,403794,10U,8:49,,YSI,8:51,5,96.3,,-0.29,48.3,,,Nothing
85282bb4-da76-4dbd-a72e-a840a7719155,2024-03-18T17:07:21.529Z,2024-03-18T23:23:34.000Z,research@pacheedaht.ca,18/03/2024 09:00 San Juan River,18/03/2024,9:00,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,,"Richard Jones , Mariyah Dunn-Jones",Sunny,0 - calm,Freshwater RST/IPT,Starting Fishing,18/03/2024,10:06,,High,Branches,,11.66,,No,,,,,,,,,,,,,,,,,,"Distance of throw was changed, Rst sat 4m closer to the throwing spot"
d9519b6d-defc-4daa-b551-67b6aebdb990,2024-03-19T01:12:24.453Z,2024-03-28T01:20:06.000Z,research@pacheedaht.ca,18/03/2024 18:08 San Juan River,18/03/2024,18:08,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,NA,Richard Jones Mariyah Dunn-Jones,Sunny,0 - calm,Freshwater RST/IPT,Starting Fishing,18/03/2024,18:09,2,Low,Needles sticks,NA,11.58,14,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,
94d966c0-342e-4459-815a-f53de67ccb4d,2024-03-20T00:37:30.356Z,2024-03-28T01:23:05.000Z,research@pacheedaht.ca,19/03/2024 17:34 San Juan River,19/03/2024,17:34,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,NA,"Jacob J, Richard J",Sunny,3 - gentle breeze (7-10kn),Freshwater RST/IPT,Starting Fishing,19/03/2024,17:35,8,Low,"Pine needles,twigs",NA,12,15,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,
2092f8f6-39b3-4d7d-9088-6130fcd76453,2024-03-21T15:59:46.248Z,2024-03-28T04:29:29.000Z,research@pacheedaht.ca,20/03/2024 14:30 San Juan River,20/03/2024,14:30,Port San Juan (PFMA #20),San Juan River,Pacheedaht First Nation,NA,"Richard Jones, Mariyah Jones",Overcast,1 - light air (1-3kn),Freshwater RST/IPT,Starting Fishing,20/03/2024,2:30,NA,High,"Sticks, leaves, small wood",NA,NA,NA,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,
bf4a808c-871d-4b18-87d4-e86eac51fa8a,2024-03-25T20:57:45.066Z,2024-03-28T04:30:45.000Z,research@pacheedaht.ca,25/03/2024 13:45 SJR,25/03/2024,13:45,Port San Juan (PFMA #20),SJR,Pacheedaht First Nation,NA,RJ JJ KD JA,Light rain,1 - light air (1-3kn),Freshwater RST/IPT,Starting Fishing,25/03/2024,13:45,NA,Low,None,4.25,NA,NA,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,Install first day
01309166-3cc3-4a5b-8e65-1c232f2e006e,2024-03-27T00:37:08.755Z,2024-03-28T04:30:49.000Z,research@pacheedaht.ca,26/03/2024 17:24 SJR,26/03/2024,17:24,Port San Juan (PFMA #20),SJR,Pacheedaht First Nation,NA,RJ Jeff J,Partly cloudy,1 - light air (1-3kn),Freshwater RST/IPT,Starting Fishing,26/03/2024,17:33,NA,Low,None,4,11.15,15,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,"Bismarck fish released at 17:43.

Photo of Bismarck fish sent to group messenger group."
775e7f61-a69f-4216-b883-1cdee40a2cac,2024-03-26T16:13:16.074Z,2024-03-28T04:32:55.000Z,research@pacheedaht.ca,26/03/2024 08:30 SJR,26/03/2024,8:30,Port San Juan (PFMA #20),SJR,Pacheedaht First Nation,NA,RJ Jeff J,Partly cloudy,1 - light air (1-3kn),Freshwater RST/IPT,Stopping Fishing,26/03/2024,8:30,NA,Medium,"Cones, little small sticks",NA,12.38,15,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,"Bycatch 

1 Newt
1 Stickleback"
db654fdc-81e2-4a21-8603-1342cdba4933,2024-03-26T15:58:42.483Z,2024-03-28T04:30:47.000Z,research@pacheedaht.ca,26/03/2024 08:30 SJR,26/03/2024,8:30,Port San Juan (PFMA #20),SJR,Pacheedaht First Nation,NA,RJ Jeff J,Overcast,0 - calm,Freshwater RST/IPT,Stopping Fishing,26/03/2024,8:30,NA,Medium,Small sticks/ leaves,NA,12.38,15,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,
801ed566-5ea6-458f-865e-1a6523ecd4e4,2024-03-28T00:36:03.811Z,2024-03-28T04:33:12.000Z,research@pacheedaht.ca,27/03/2024 17:25 SJR,27/03/2024,17:25,Port San Juan (PFMA #20),SJR,Pacheedaht First Nation,NA,Rich Jeff,Overcast,0 - calm,Freshwater RST/IPT,Starting Fishing,27/03/2024,17:25,NA,Low,None,5,12.3,15,No,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,No animals
