ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,242_Species,243_Life_Stage,244_List,248_Adipose_Clip_Sta,249_Fork_Length_mm,250_Height_mm,251_Weight_g,252_Are_you_collecti,254_DNA_sample__What,255_Gill_Vial_,256_Time_gill_sample,258_Clinical_Signs_c,259__of_Adult_Motile,260_Clinical_Comment,266_Is_this_a_lethal,268_Lethal_Sample_,269_Type_of_Lethal_S,271_Fish_Photo_clini,272_Comments
1a7e4b4e-c628-4c6b-8176-94dac9adac39,e3242aa5-63e1-4b69-a4e4-44202a22368b,2024-03-15T16:20:43.330Z,2024-03-18T23:23:40.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,,Not clipped,54,,0.54,No,,,,,,,No,,,,
78525795-7e78-4f38-816f-debc024ebaf6,c9228874-5815-4248-a70c-5c92f5e4a19a,2024-03-14T16:36:15.830Z,2024-03-18T23:23:48.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,,Not clipped,39,,0.48,No,,,,,,,No,,,,
c0e86420-7b2f-4960-b4d3-b990faca626b,c9228874-5815-4248-a70c-5c92f5e4a19a,2024-03-14T16:33:13.514Z,2024-03-18T23:23:47.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,,Not clipped,40,,0.5,No,,,,,,,No,,,,
d9e7ebd3-203a-43ba-89f7-d8e0ea242e33,c9228874-5815-4248-a70c-5c92f5e4a19a,2024-03-14T16:30:55.521Z,2024-03-18T23:23:51.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,,Not clipped,38,,0.45,No,,,,,,,No,,,d9e7ebd3-203a-43ba-89f7-d8e0ea242e33_1710433680.jpg,
0455fc5b-9e60-41fb-af08-9f7095fd6a10,ad9db2e4-8c1d-4dcf-ba40-8d281c7610c1,2024-03-13T16:51:31.000Z,2024-03-14T02:41:04.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,,Not clipped,41,,0.53,No,,,,,,,No,,,,
6100cfab-f2b9-478f-9286-6e798a73341b,ad9db2e4-8c1d-4dcf-ba40-8d281c7610c1,2024-03-13T16:49:32.000Z,2024-03-14T02:41:02.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,,Not clipped,39,,0.35,No,,,,,,,No,,,,
8c93700a-e869-417f-bbaa-cca89fffee41,ad9db2e4-8c1d-4dcf-ba40-8d281c7610c1,2024-03-13T16:47:04.000Z,2024-03-14T02:41:00.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,,Not clipped,38,,0.44,No,,,,,,,No,,,,
bc044974-cfd5-4935-a574-58fa6bb6290f,ad9db2e4-8c1d-4dcf-ba40-8d281c7610c1,2024-03-13T16:20:53.000Z,2024-03-14T02:40:58.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,,Not clipped,41,,0.59,No,,,,,,,No,,,,
18253da8-9d31-4a8c-a5e3-1656939bf79a,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:16:31.504Z,2024-03-28T04:41:59.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,36,NA,0.37,No,,,,NA,NA,NA,No,,,NA,No
8abbe209-0d86-4452-b3e5-3662d2ab78a4,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:23:53.868Z,2024-03-28T04:42:01.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,41,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
42027717-c40a-457f-aa19-260af88a4d59,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:25:01.181Z,2024-03-28T04:42:03.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,39,NA,0.45,No,,,,NA,NA,NA,No,,,NA,
0163f2f0-657a-49a2-b9de-bf9b781612a0,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:26:00.911Z,2024-03-28T04:42:06.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,38,NA,0.43,No,,,,NA,NA,NA,No,,,NA,
1dbcd103-ac67-4946-80a5-92b801e2fced,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:27:07.735Z,2024-03-28T04:42:08.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,41,NA,0.59,No,,,,NA,NA,NA,No,,,NA,
bbb9b47a-2d8a-4e22-9a68-927bfed31783,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:29:27.610Z,2024-03-28T04:42:10.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.46,No,,,,NA,NA,NA,No,,,NA,
330c7066-a17f-42e8-ad4e-1d83bf2c63cf,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:30:16.936Z,2024-03-28T04:42:12.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,37,NA,0.43,No,,,,NA,NA,NA,No,,,NA,
f9c71d53-639c-41f1-b1c6-aa9693b36728,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:32:10.748Z,2024-03-28T04:42:14.000Z,research@pacheedaht.ca,Chum Fry,Chum,Fry,NA,Not clipped,40,NA,0.43,No,,,,NA,NA,NA,No,,,NA,
ee7278ca-192e-4e73-8ff4-01b591d81ea0,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:34:11.727Z,2024-03-28T04:42:16.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.44,No,,,,NA,NA,NA,No,,,NA,
b885fd98-e5ad-482d-a66e-9046340684a9,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:35:44.400Z,2024-03-28T04:42:18.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.48,No,,,,NA,NA,NA,No,,,NA,
c7d4fee0-015e-44fd-81f3-cdbf0df8e8df,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:38:14.737Z,2024-03-28T04:42:20.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,39,NA,0.5,No,,,,NA,NA,NA,No,,,NA,
adf468f6-8eb4-43f0-bb79-200fb0262e0b,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:42:24.228Z,2024-03-28T04:42:22.000Z,research@pacheedaht.ca,Chinook Fry,Chinook,Fry,NA,Not clipped,40,NA,0.65,No,,,,NA,NA,NA,No,,,NA,
b717604e-7b04-438f-a0f8-313920cc633b,12473359-46da-407a-98c6-ea5a2d44fe3b,2024-03-19T00:44:35.669Z,2024-03-28T04:42:24.000Z,research@pacheedaht.ca,Coho Fry,Coho,Fry,NA,Not clipped,39,NA,0.56,No,,,,NA,NA,NA,No,,,NA,
