unique_event,unique_fish,unique_catch,year,month,day,date,longitude,latitude,species_code,species_recorded,fish_num,length,length_unit,length_type,weight,weight_unit,weight_type,weight_state,sex_code,sex,cwt_yn,ad_clipped_yn,specimen_comment,stock_final,above_stock_prob_limit_yn,stock_probability,cwt_tag_number,reporting_agency,brood_year,release_year,run,hatchery,region,basin,release_site,stock_location_name,
BCSI2021-034-107,BCSI2021-034-107-124J-0421,BCSI2021-034-107-124J,2021,OCT,15,2021-10-15 7:46,-124.5628,48.532583,124J,Chinook Salmon (Juveniles),421,274,MM,Fork Length,273,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,CLEARWATER_RIVER,Y,99.93696,,,,,,,,,,,
BCSI2021-034-107,BCSI2021-034-107-124J-0422,BCSI2021-034-107-124J,2021,OCT,15,2021-10-15 7:46,-124.5628,48.532583,124J,Chinook Salmon (Juveniles),422,289,MM,Fork Length,324,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,NECHAKO_RIVER,Y,89.19797,,,,,,,,,,,
BCSI2021-034-107,BCSI2021-034-107-124J-0424,BCSI2021-034-107-124J,2021,OCT,15,2021-10-15 7:46,-124.5628,48.532583,124J,Chinook Salmon (Juveniles),424,229,MM,Fork Length,154,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,,,,,,,,,,,,,,
BCSI2021-034-107,BCSI2021-034-107-124J-0425,BCSI2021-034-107-124J,2021,OCT,15,2021-10-15 7:46,-124.5628,48.532583,124J,Chinook Salmon (Juveniles),425,199,MM,Fork Length,98,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,WENATCHEE_RIVER,Y,99.9954,,,,,,,,,,,
BCSI2021-034-107,BCSI2021-034-107-124J-0426,BCSI2021-034-107-124J,2021,OCT,15,2021-10-15 7:46,-124.5628,48.532583,124J,Chinook Salmon (Juveniles),426,184,MM,Fork Length,75,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,Below_Limit,N,47.23588,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0427,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),427,238,MM,Fork Length,158,G,Whole Round Weight,FRESH,0,UNKNOWN,Y,Y,,SOOS_CREEK,Y,99.99947,637787,WDFW,2020,2021,Fall,ISSAQUAH HATCHERY,MPS,LAKW,ISSAQUAH CR 08.0178,,BIG SOOS CR  09.0072
BCSI2021-034-108,BCSI2021-034-108-124J-0428,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),428,194,MM,Fork Length,87,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,NITINAT_RIVER,Y,100,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0429,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),429,205,MM,Fork Length,101,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,Below_Limit,N,46.30727,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0430,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),430,215,MM,Fork Length,118,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,CHILLIWACK_RIVER_FALL,Y,100,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0431,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),431,186,MM,Fork Length,86,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,SOOS_CREEK,Y,99.97328,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0432,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),432,253,MM,Fork Length,206,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,CLEARWATER_RIVER,Y,100,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0433,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),433,311,MM,Fork Length,373,G,Whole Round Weight,FRESH,0,UNKNOWN,Y,Y,,WENATCHEE_RIVER,Y,99.98254,637595,WDFW,2019,2021,Summer,,UPCR,WECH,WENATCHEE R 45.0030,,WA
BCSI2021-034-108,BCSI2021-034-108-124J-0434,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),434,347,MM,Fork Length,528,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,SOOS_CREEK,Y,99.99623,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0435,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),435,262,MM,Fork Length,250,G,Whole Round Weight,FRESH,0,UNKNOWN,N,N,,Below_Limit,N,54.09338,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0436,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),436,273,MM,Fork Length,257,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,ABERNATHY_RIVER,Y,99.99892,,,,,,,,,,,
BCSI2021-034-108,BCSI2021-034-108-124J-0437,BCSI2021-034-108-124J,2021,OCT,15,2021-10-15 9:53,-124.433,48.512966,124J,Chinook Salmon (Juveniles),437,222,MM,Fork Length,133,G,Whole Round Weight,FRESH,0,UNKNOWN,N,Y,,,,,,,,,,,,,,,
