"ec5_form3_uuid","ec5_form2_uuid","created_at","date","uploaded_at","created_by","title","X242_Species","X243_Life_Stage","X244_List","X245_Is_this_fish_a_r","X246_Recaptured_PIT_T","X248_Adipose_Clip_Sta","X249_Fork_Length_mm","X250_Height_mm","X251_Weight_g","X252_Are_you_collecti","X254_DNA_sample__What","X255_Gill_Vial_","X256_Time_gill_sample","X258_Clinical_Signs_c","X259__of_Adult_Motile","X260_Clinical_Comment","X261_Are_you_PIT_tagg","X263_PIT_tag_tray__Ph","X264_PIT_Tag__last_4_","X265_PIT_Tag_Comments","X266_Is_this_a_lethal","X268_Lethal_Sample_","X269_Type_of_Lethal_S","X271_Fish_Photo_clini","X272_Comments","ec5_form1_uuid","X2_Date","X5_Survey_Location_ri","UTM_Northing_99_Coordinates","UTM_Easting_99_Coordinates","geometry","lat","long"
"4a50f44b-e26b-439e-a71a-bdc1a19915aa","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:44:22.106Z",2024-05-23,"2024-05-24T18:10:33.000Z","followthefishdata1@gmail.com","Chinook 129 SJ24-PRS001","Chinook","Smolt","","No",NA,"Not clipped",129,22,NA,"Yes","SJ24-PRS001","","11:42","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"ac82cfa8-a4f2-4bfc-80aa-1531fd8a7ca1","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:45:50.904Z",2024-05-23,"2024-05-24T18:10:37.000Z","followthefishdata1@gmail.com","Coho 118 SJ24-PRS002","Coho","Smolt","","No",NA,"Not clipped",118,22,NA,"Yes","SJ24-PRS002","","11:44","",NA,"","No",NA,NA,NA,"No","","","","Sampled uncertain species ID","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"7aa75a7b-3e8b-4d5d-aea4-14bea92c1ebf","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:47:43.113Z",2024-05-23,"2024-05-24T18:10:35.000Z","followthefishdata1@gmail.com","Coho 104 SJ24-PRS003","Coho","Smolt","","No",NA,"Not clipped",104,18,NA,"Yes","SJ24-PRS003","","11:46","",NA,"","No",NA,NA,NA,"No","","","","Sampled uncertain species ID","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"35dee8ef-5baa-4980-aed7-ad261c4c9d70","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:49:25.995Z",2024-05-23,"2024-05-24T18:10:39.000Z","followthefishdata1@gmail.com","Other 128","Other","Adult","Herring","No",NA,"Not clipped",128,26,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"eaf81219-e0c5-4e22-8616-fa0901325cff","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:49:54.483Z",2024-05-23,"2024-05-24T18:10:42.000Z","followthefishdata1@gmail.com","Other 126","Other","Adult","Herring","No",NA,"Not clipped",126,22,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"a11f3cd3-ec5d-4f7f-8c3c-77f44179d63a","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:50:21.199Z",2024-05-23,"2024-05-24T18:10:44.000Z","followthefishdata1@gmail.com","Other 126","Other","Adult","Herring","No",NA,"Not clipped",126,24,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"50cd61ee-bc97-449c-a6ee-a8760f51d1e5","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:50:49.450Z",2024-05-23,"2024-05-24T18:10:45.000Z","followthefishdata1@gmail.com","Other 158","Other","Adult","Herring","No",NA,"Not clipped",158,24,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"49628100-9bfd-4247-877b-964b5a9ebe55","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:51:23.272Z",2024-05-23,"2024-05-24T18:10:48.000Z","followthefishdata1@gmail.com","Other 144","Other","Adult","Surf smelt","No",NA,"Not clipped",144,24,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"8ec266b4-e0f0-4b21-95bc-a441dece1c8c","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:51:50.390Z",2024-05-23,"2024-05-24T18:10:50.000Z","followthefishdata1@gmail.com","Other 156","Other","Adult","Smelt","No",NA,"Not clipped",156,26,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"d6a6c724-8076-4390-b4c2-f69cfb960fbc","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:52:43.347Z",2024-05-23,"2024-05-24T18:10:52.000Z","followthefishdata1@gmail.com","Other 126","Other","Adult","Herring","No",NA,"Not clipped",126,22,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
"052b2658-eb38-4022-9ced-76540200cb2d","f4c0f784-5b67-4652-b42f-2a506963e8d7","2024-05-23T18:53:11.651Z",2024-05-23,"2024-05-24T18:10:54.000Z","followthefishdata1@gmail.com","Other 146","Other","Adult","Smelt","No",NA,"Not clipped",146,24,NA,"No","","","","",NA,"","No",NA,NA,NA,"No","","","","","0288cda3-23ba-4240-b8ef-0845ceb35600",2024-05-23,"PSJ-PRS5",5379738,394581,c(-124.428810075962, 48.561867283343),48.561867283343,-124.428810075962
